;Union;SPD;Linke;Grünen;FDP;AFD;Sonstige;Nichtwähler
internet.rmse;2,517737079;0,976217189;2,076053949;0,661815684;2,92711462;0,664078309;0,314642654;3,161961417
internet.rmse.rak;2,035927307;1,024695077;1,857417562;0,754320887;3,003830887;0,914877041;0,503984127;2,593067681
blogger.rmse;3,898974224;0,994987437;1,089954127;3,68388382;2,688308018;4,471800532;0,786765531;6,654772723
blogger.rmse.rak;4,076395467;1,133578405;1,710555465;4,418710219;2,85692142;4,388393784;0,282842712;5,438565987
interpol.rmse;2,971195046;3,285726708;1,250599856;1,490972837;1,643471935;0,569209979;0,532916504;7,170146442
interpol.rmse.rak;1,448102206;3,031996042;0,475394573;2,29913027;2,062765134;0,602494813;0,364691651;7,015197788
