;Union;SPD;Linke;Grünen;FDP;AFD;Sonstige;Nichtwähler
internet.relativbias;7,630662021;0,815217391;-32,58064516;0,965517241;37,6;2,063492063;-10,95238095;-19,14110429
internet.relativbias.rak;4,634146341;-0,652173913;-28,70967742;1,034482759;38,26666667;9,047619048;-21,9047619;-15,70552147
blogger.relativbias;-13,17073171;1,630434783;-16,4516129;23,93103448;33,46666667;70,63492063;32,85714286;-40,61349693
blogger.relativbias.rak;-13,62369338;-2,22826087;-26,77419355;29,31034483;35,73333333;69,52380952;2,857142857;-33,12883436
interpol.relativbias;8,292682927;15,54347826;-19,67741935;6,965517241;20,66666667;2,222222222;19,04761905;-43,6196319
interpol.relativbias.rak;1,846689895;14,07608696;-5,161290323;13,37931034;26,8;0,476190476;10;-42,7607362
